price,const_type,net_m2,brut_m2,room,age,floor,no_of_floor,heating,due,deposit,no_of_bathroom,no_of_wc,in_site,furniture,location
3000,Betonarme,75,80,2+1,0 (Yeni),11,14,Merkezi (Pay Ölçer),400,3000,1,1,Evet,Boş,Kağıthane
1900,Betonarme,70,85,2+1,11-20,4,15,Kombi Doğalgaz,125,3800,1,1,Hayır,Eşyalı,Beylikdüzü
3000,Betonarme,110,115,2+1,5-10,4,5,Kombi Doğalgaz,0,0,2,1,Hayır,Boş,Bahçelievler
1500,Betonarme,85,105,2+1,1-4,5,5,Kombi Doğalgaz,50,2000,1,1,Hayır,Boş,Kartal
1050,Betonarme,80,90,2+1,5-10,1,4,Kombi Doğalgaz,30,1050,1,1,Hayır,Boş,Maltepe
1000,Betonarme,100,110,2+1,20 Ve Üzeri,0,3,Kombi Doğalgaz,0,0,1,2,Hayır,Boş,Pendik
2300,Betonarme,64,74,1+1,5-10,2,24,Merkezi (Pay Ölçer),0,0,1,1,Hayır,Boş,Başakşehir
5000,Betonarme,110,140,3+1,1-4,0,9,Kombi Doğalgaz,0,0,2,1,Hayır,Boş,Kadıköy
1100,Betonarme,65,85,2+1,20 Ve Üzeri,5,5,Other,20,1100,1,1,Hayır,Boş,Kartal
1950,Betonarme,85,90,2+1,20 Ve Üzeri,1,4,Kombi Doğalgaz,0,1950,1,2,Hayır,Boş,Üsküdar
3000,Betonarme,80,85,2+1,5-10,2,4,Kombi Doğalgaz,0,3000,1,1,Hayır,Boş,Üsküdar
2500,Betonarme,80,90,2+1,1-4,0,4,Kombi Doğalgaz,0,2500,2,1,Hayır,Boş,Bahçelievler
1500,Betonarme,70,75,1+1,0 (Yeni),1,10,Merkezi (Pay Ölçer),0,1500,1,1,Hayır,Boş,Çekmeköy
650,Betonarme,105,115,3+1,20 Ve Üzeri,0,3,Other,0,0,1,1,Hayır,Boş,Pendik
650,Betonarme,105,115,3+1,20 Ve Üzeri,0,3,Other,0,0,1,1,Hayır,Boş,Pendik
1950,Betonarme,100,110,2+1,20 Ve Üzeri,1,4,Kombi Doğalgaz,70,1950,2,1,Hayır,Boş,Maltepe
2900,Betonarme,55,60,1+1,5-10,2,5,Kombi Doğalgaz,0,0,1,1,Hayır,Eşyalı,Şişli
2250,Betonarme,120,130,3+1,5-10,8,11,Kombi Doğalgaz,0,0,1,1,Hayır,Eşyalı,Pendik
1400,Betonarme,75,80,2+1,20 Ve Üzeri,2,5,Kombi Doğalgaz,0,1400,1,2,Hayır,Boş,Beyoğlu
1700,Betonarme,75,80,2+1,20 Ve Üzeri,0,3,Kombi Doğalgaz,0,1700,1,1,Hayır,Eşyalı,Beyoğlu
2000,Betonarme,70,80,2+1,1-4,0,4,Kombi Doğalgaz,0,0,1,1,Hayır,Eşyalı,Eyüpsultan
1200,Betonarme,55,65,2+1,5-10,-3,6,Kombi Doğalgaz,0,0,1,1,Hayır,Eşyalı,Eyüpsultan
1150,Betonarme,50,55,1+1,5-10,4,4,Kombi Doğalgaz,0,0,1,1,Hayır,Boş,Eyüpsultan
1750,Betonarme,140,150,4+1,0 (Yeni),3,3,Kombi Doğalgaz,0,5000,2,2,Hayır,Boş,Bağcılar
1500,Betonarme,85,95,2+1,20 Ve Üzeri,4,4,Kombi Doğalgaz,0,0,1,1,Hayır,Boş,Bayrampaşa
1250,Betonarme,77,85,2+1,20 Ve Üzeri,0,6,Kombi Doğalgaz,0,1250,1,1,Hayır,Boş,Çekmeköy
2850,Betonarme,60,75,1+1,5-10,3,6,Merkezi (Pay Ölçer),380,5700,1,1,Evet,Eşyalı,Küçükçekmece
1600,Betonarme,110,120,3+1,11-20,1,5,Kombi Doğalgaz,80,1600,1,2,Hayır,Boş,Çekmeköy
3000,Betonarme,150,165,4+1,20 Ve Üzeri,2,3,Kombi Doğalgaz,50,5000,2,3,Hayır,Boş,Küçükçekmece
1700,Betonarme,80,85,2+1,20 Ve Üzeri,1,5,Kombi Doğalgaz,0,0,1,1,Hayır,Boş,Bahçelievler
3000,Betonarme,145,150,3+1,20 Ve Üzeri,3,4,Kombi Doğalgaz,0,0,1,1,Hayır,Boş,Maltepe
1700,Betonarme,85,105,3+1,20 Ve Üzeri,2,4,Kombi Doğalgaz,0,0,1,1,Hayır,Boş,Kartal
1300,Betonarme,70,80,1+1,20 Ve Üzeri,1,4,Other,0,0,1,1,Hayır,Boş,Kağıthane
1350,Betonarme,70,80,2+1,20 Ve Üzeri,1,3,Kombi Doğalgaz,0,0,1,1,Hayır,Boş,Kartal
1750,Betonarme,30,35,1+1,20 Ve Üzeri,0,5,Isıtma Yok,0,0,1,1,Hayır,Eşyalı,Bahçelievler
2400,Betonarme,120,125,2+1,11-20,4,5,Kombi Doğalgaz,0,0,1,1,Hayır,Boş,Kağıthane
1650,Betonarme,80,90,2+1,11-20,4,4,Kombi Doğalgaz,0,0,1,1,Hayır,Boş,Kağıthane
1500,Betonarme,70,75,2+1,20 Ve Üzeri,4,5,Kombi Doğalgaz,25,1500,1,1,Hayır,Boş,Fatih
2000,Betonarme,94,98,2+1,5-10,1,10,Kombi Doğalgaz,150,4000,1,1,Hayır,Boş,Küçükçekmece
1500,Betonarme,120,130,3+1,1-4,1,5,Kombi Doğalgaz,0,1500,1,1,Hayır,Boş,Sancaktepe
2000,Betonarme,86,96,2+1,11-20,6,10,Kombi Doğalgaz,228,4000,1,1,Evet,Boş,Esenyurt
2000,Betonarme,90,100,2+1,5-10,16,26,Merkezi (Pay Ölçer),400,4000,2,2,Evet,Boş,Esenyurt
2000,Betonarme,90,95,2+1,11-20,7,9,Kombi Doğalgaz,0,0,1,1,Hayır,Eşyalı,Bağcılar
1550,Betonarme,57,70,1+1,11-20,7,9,Merkezi Doğalgaz,360,3000,1,1,Hayır,Boş,Küçükçekmece
2000,Betonarme,90,95,2+1,11-20,2,4,Kombi Doğalgaz,0,0,1,1,Hayır,Boş,Kağıthane
1800,Betonarme,140,150,4+1,11-20,0,3,Kombi Doğalgaz,0,0,1,1,Hayır,Boş,Ataşehir
1800,Betonarme,45,50,1+1,1-4,4,5,Kombi Doğalgaz,0,3700,1,1,Hayır,Eşyalı,Beyoğlu
2500,Betonarme,110,120,3+1,20 Ve Üzeri,4,5,Kombi Doğalgaz,25,2500,1,1,Hayır,Boş,Fatih
1600,Betonarme,90,105,2+1,1-4,2,5,Kombi Doğalgaz,0,0,1,1,Hayır,Boş,Ümraniye
2000,Betonarme,90,95,2+1,20 Ve Üzeri,1,4,Kombi Doğalgaz,0,0,2,1,Hayır,Eşyalı,Bağcılar
2000,Betonarme,70,80,1+1,5-10,8,30,Kombi Doğalgaz,0,0,1,1,Hayır,Eşyalı,Esenyurt
1100,Betonarme,90,100,2+1,5-10,2,4,Kombi Doğalgaz,0,0,1,2,Hayır,Boş,Esenyurt
1400,Betonarme,70,80,2+1,0 (Yeni),2,6,Kombi Doğalgaz,0,0,1,1,Hayır,Boş,Esenyurt
3900,Betonarme,119,120,2+1,20 Ve Üzeri,2,4,Kombi Doğalgaz,0,0,1,1,Hayır,Boş,Sarıyer
1600,Betonarme,80,90,2+1,1-4,0,5,Kombi Doğalgaz,0,1600,1,1,Hayır,Boş,Kağıthane
1300,Betonarme,90,100,2+1,20 Ve Üzeri,5,5,Kombi Doğalgaz,0,1300,1,1,Hayır,Boş,Bağcılar
3650,Betonarme,115,120,3+1,20 Ve Üzeri,0,4,Kombi Doğalgaz,0,3650,1,1,Hayır,Boş,Üsküdar
