price,ann_date,type,category,const_type,net_m2,brut_m2,room,age,floor,no_of_floor,heating,due,deposit,no_of_bathroom,no_of_wc,in_site,furniture,location
"2,000TL",23 Şubat 2021,Konut,Kiralık,Betonarme,95 m2,100 m2,2+1,20 Ve Üzeri,3. Kat,5,Kombi Doğalgaz,50 TL,4.000 TL,1,1,Hayır,Eşyalı,Avcılar
"1,300TL",23 Şubat 2021,Konut,Kiralık,Betonarme,65 m2,70 m2,1+1,3,Kot 1,5,Kombi Doğalgaz,10 TL,1.300 TL,1,1,Hayır,Boş,Kağıthane
"2,500TL",24 Şubat 2021,Konut,Kiralık,Betonarme,80 m2,85 m2,2+1,20 Ve Üzeri,1. Kat,5,Kombi Doğalgaz,30 TL,5.000 TL,1,2,Hayır,Boş,Bakırköy
"2,000TL",24 Şubat 2021,Konut,Kiralık,Belirtilmemiş,90 m2,100 m2,2+1,20 Ve Üzeri,1. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,1,Hayır,Belirtilmemiş,Zeytinburnu
"2,500TL",24 Şubat 2021,Konut,Kiralık,Belirtilmemiş,78 m2,79 m2,1+1,5-10,30-40. Kat,40,Merkezi (Pay Ölçer),Belirtilmemiş,5.000 TL,1,Belirtilmemiş,Hayır,Eşyalı,Esenyurt
"2,000TL",24 Şubat 2021,Konut,Kiralık,Betonarme,70 m2,85 m2,2+1,20 Ve Üzeri,Yarı Bodrum,4,Kombi Doğalgaz,70 TL,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Bakırköy
"2,000TL",24 Şubat 2021,Konut,Kiralık,Belirtilmemiş,75 m2,80 m2,2+1,20 Ve Üzeri,Yüksek Giriş,5,Kombi Doğalgaz,0 TL,3.000 TL,1,1,Hayır,Belirtilmemiş,Fatih
"2,300TL",23 Şubat 2021,Konut,Kiralık,Betonarme,75 m2,80 m2,2+1,20 Ve Üzeri,2. Kat,4,Kombi Doğalgaz,Belirtilmemiş,2.300 TL,1,Belirtilmemiş,Hayır,Boş,Bakırköy
"2,550TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,90 m2,110 m2,2+1,3,1. Kat,5,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Beylikdüzü
"1,300TL",23 Şubat 2021,Konut,Kiralık,Betonarme,90 m2,100 m2,2+1,11-20,6. Kat,8,Kombi Doğalgaz,10 TL,1.300 TL,1,1,Hayır,Boş,Şişli
"1,100TL",24 Şubat 2021,Konut,Kiralık,Taş Bina,110 m2,115 m2,2+1,11-20,2. Kat,4,Doğalgaz Sobalı,0 TL,1.100 TL,1,2,Hayır,Boş,Sultangazi
"3,500TL",24 Şubat 2021,Konut,Kiralık,Belirtilmemiş,80 m2,90 m2,1+1,20 Ve Üzeri,1. Kat,6,Kombi Doğalgaz,150 TL,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Şişli
"1,750TL",24 Şubat 2021,Konut,Kiralık,Belirtilmemiş,70 m2,80 m2,1+1,20 Ve Üzeri,2. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Kağıthane
"1,400TL",24 Şubat 2021,Konut,Kiralık,Betonarme,90 m2,100 m2,3+1,20 Ve Üzeri,2. Kat,4,Kombi Doğalgaz,20 TL,1.400 TL,1,1,Hayır,Boş,Kadıköy
"1,300TL",23 Şubat 2021,Konut,Kiralık,Betonarme,90 m2,98 m2,2+1,20 Ve Üzeri,1. Kat,4,Kombi Doğalgaz,20 TL,1.300 TL,1,1,Hayır,Boş,Silivri
"1,600TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,75 m2,80 m2,2+1,20 Ve Üzeri,3. Kat,3,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,1,Hayır,Belirtilmemiş,Fatih
"3,350TL",24 Şubat 2021,Konut,Kiralık,Betonarme,45 m2,55 m2,1+1,20 Ve Üzeri,10. Kat,14,Merkezi Doğalgaz,450 TL,7.000 TL,1,1,Hayır,Eşyalı,Bakırköy
"1,550TLarrow_downward",24 Şubat 2021,Konut,Kiralık,Betonarme,85 m2,100 m2,2+1,20 Ve Üzeri,3. Kat,4,Kombi Doğalgaz,50 TL,1.550 TL,1,1,Hayır,Boş,Pendik
"1,300TL",24 Şubat 2021,Konut,Kiralık,Betonarme,60 m2,70 m2,2+1,5-10,Bahçe Katı,5,Kombi Doğalgaz,Belirtilmemiş,1.300 TL,1,1,Hayır,Boş,Bahçelievler
"1,400TL",24 Şubat 2021,Konut,Kiralık,Betonarme,80 m2,90 m2,2+1,20 Ve Üzeri,5. Kat,5,Kombi Doğalgaz,30 TL,Belirtilmemiş,1,1,Hayır,Boş,Küçükçekmece
"5,000TL",24 Şubat 2021,Konut,Kiralık,Betonarme,80 m2,90 m2,2+1,20 Ve Üzeri,3. Kat,3,Kombi Doğalgaz,Belirtilmemiş,10.000 TL,1,Belirtilmemiş,Hayır,Eşyalı,Beşiktaş
