price,ann_date,type,category,const_type,net_m2,brut_m2,room,age,floor,no_of_floor,heating,due,deposit,no_of_bathroom,no_of_wc,in_site,furniture,location
"3,500TL",21 Şubat 2021,Konut,Kiralık,Belirtilmemiş,120 m2,125 m2,3+1,11-20,Kot 3,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Fatih
"1,100TL",20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,120 m2,130 m2,3+1,11-20,Yüksek Giriş,5,Kombi Doğalgaz,0 TL,1.100 TL,1,1,Hayır,Belirtilmemiş,Sancaktepe
"2,250TL",21 Şubat 2021,Konut,Kiralık,Belirtilmemiş,125 m2,130 m2,2+1,5-10,2. Kat,3,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"1,200TL",20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,60 m2,65 m2,1+1,1,Çatı Dubleks,4,Kombi Doğalgaz,0 TL,1.200 TL,1,Belirtilmemiş,Hayır,Boş,Ümraniye
800TL,20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,80 m2,90 m2,2+1,11-20,Düz Giriş,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Sancaktepe
"1,000TL",21 Şubat 2021,Konut,Kiralık,Betonarme,34 m2,35 m2,1 Oda,5-10,2. Kat,4,Kombi Doğalgaz,0 TL,1.000 TL,1,1,Hayır,Eşyalı,Sarıyer
900TL,21 Şubat 2021,Konut,Kiralık,Belirtilmemiş,30 m2,35 m2,Stüdyo,20 Ve Üzeri,1. Kat,4,Sobalı,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Fatih
"2,650TL",20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,48 m2,68 m2,1+1,2,22. Kat,22,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Kadıköy
"1,350TL",20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,33 m2,55 m2,Stüdyo,5-10,10. Kat,10,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Sancaktepe
"1,900TL",19 Şubat 2021,Konut,Kiralık,Belirtilmemiş,46 m2,56 m2,1+1,1,2. Kat,24,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Kartal
"3,500TL",19 Şubat 2021,Konut,Kiralık,Belirtilmemiş,135 m2,140 m2,3+1,20 Ve Üzeri,5. Kat,6,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Maltepe
"2,100TL",19 Şubat 2021,Konut,Kiralık,Belirtilmemiş,95 m2,115 m2,3+1,5-10,4. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Pendik
"2,550TL",19 Şubat 2021,Konut,Kiralık,Betonarme,75 m2,90 m2,2+1,4,1. Kat,5,Merkezi Doğalgaz,250 TL,5.000 TL,1,1,Evet,Eşyalı,Beylikdüzü
"2,400TL",19 Şubat 2021,Konut,Kiralık,Betonarme,35 m2,45 m2,Stüdyo,0 (Yeni),8. Kat,15,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"5,400TL",19 Şubat 2021,Konut,Kiralık,Betonarme,70 m2,85 m2,1+1,5-10,5. Kat,20,Merkezi Doğalgaz,420 TL,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Sarıyer
"8,500TL",19 Şubat 2021,Konut,Kiralık,Betonarme,166 m2,186 m2,3+1,5-10,10. Kat,30,Merkezi (Pay Ölçer),1.000 TL,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"9,000TL",19 Şubat 2021,Konut,Kiralık,Betonarme,170 m2,185 m2,3+1,4,11. Kat,22,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer Kiralık Residenc
"3,650TL",19 Şubat 2021,Konut,Kiralık,Betonarme,55 m2,65 m2,Stüdyo,4,11. Kat,32,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer Kiralık Residenc
"7,500TL",19 Şubat 2021,Konut,Kiralık,Betonarme,120 m2,145 m2,2+1,4,7. Kat,22,Kat Kaloriferi,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer Kiralık Residenc
"11,000TL",19 Şubat 2021,Konut,Kiralık,Betonarme,136 m2,146 m2,2+1,5-10,10. Kat,40,Merkezi (Pay Ölçer),850 TL,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"2,750TL",20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,80 m2,85 m2,2+1,2,2. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Şişli
"7,250TL",19 Şubat 2021,Konut,Kiralık,Betonarme,120 m2,145 m2,2+1,4,6. Kat,32,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer Kiralık Residenc
"1,250TL",20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,90 m2,100 m2,2+1,0 (Yeni),3. Kat,5,Kombi Doğalgaz,0 TL,0 TL,1,Belirtilmemiş,Hayır,Belirtilmemiş,Sultanbeyli
"1,450TL",19 Şubat 2021,Konut,Kiralık,Belirtilmemiş,40 m2,56 m2,1+1,5-10,1. Kat,8,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Tuzla
"1,800TL",19 Şubat 2021,Konut,Kiralık,Belirtilmemiş,52 m2,100 m2,1+1,4,3. Kat,5,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Tuzla
"1,300TL",19 Şubat 2021,Konut,Kiralık,Belirtilmemiş,70 m2,88 m2,2+1,5-10,Düz Giriş,13,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Tuzla
"7,200TL",19 Şubat 2021,Konut,Kiralık,Betonarme,136 m2,146 m2,2+1,5-10,15. Kat,40,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"7,500TL",19 Şubat 2021,Konut,Kiralık,Betonarme,136 m2,146 m2,2+1,5-10,10. Kat,40,Merkezi (Pay Ölçer),850 TL,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"1,800TL",20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,65 m2,68 m2,1+1,4,4. Kat,25,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Esenyurt
"3,500TL",19 Şubat 2021,Konut,Kiralık,Belirtilmemiş,94 m2,146 m2,3+1,4,2. Kat,5,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Tuzla
"1,350TL",19 Şubat 2021,Konut,Kiralık,Belirtilmemiş,58 m2,70 m2,1+1,5-10,6. Kat,9,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Tuzla
"1,600TL",20 Şubat 2021,Konut,Kiralık,Betonarme,55 m2,60 m2,1+1,11-20,Yüksek Giriş,4,Kombi Doğalgaz,Belirtilmemiş,3.200 TL,1,1,Hayır,Eşyalı,Üsküdar
"1,200TL",19 Şubat 2021,Konut,Kiralık,Betonarme,55 m2,60 m2,1+1,20 Ve Üzeri,Düz Giriş,4,Kombi Doğalgaz,Belirtilmemiş,1.200 TL,1,1,Hayır,Boş,Ümraniye
"2,000TL",20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,87 m2,92 m2,2+1,5-10,19. Kat,27,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Esenyurt
"2,300TL",19 Şubat 2021,Konut,Kiralık,Belirtilmemiş,70 m2,88 m2,2+1,5-10,27. Kat,30,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Kartal Kiralık Residenc
"55,000TL",20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,490 m2,650 m2,5+1,11-20,Düz Giriş,2,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,4,Belirtilmemiş,Hayır,Eşyalı,Beykoz Kiralık V
"2,100TL",19 Şubat 2021,Konut,Kiralık,Belirtilmemiş,100 m2,120 m2,3+1,11-20,Yüksek Giriş,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Gaziosmanpaşa
"725,000TL",19 Şubat 2021,Konut,Kiralık,Belirtilmemiş,140 m2,150 m2,3+1,5-10,5. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Eyüpsultan
"1,800TL",19 Şubat 2021,Konut,Kiralık,Belirtilmemiş,80 m2,110 m2,2+1,20 Ve Üzeri,2. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Eyüpsultan
"2,950TL",19 Şubat 2021,Konut,Kiralık,Belirtilmemiş,150 m2,180 m2,3+1,20 Ve Üzeri,7. Kat,7,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Gaziosmanpaşa
"1,850TL",19 Şubat 2021,Konut,Kiralık,Belirtilmemiş,34 m2,44 m2,Stüdyo,4,13. Kat,14,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Eyüpsultan
"3,000TL",19 Şubat 2021,Konut,Kiralık,Belirtilmemiş,90 m2,115 m2,2+1,4,14. Kat,14,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Eyüpsultan
"2,500TL",19 Şubat 2021,Konut,Kiralık,Belirtilmemiş,70 m2,95 m2,2+1,5-10,1. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Eyüpsultan
"1,800TL",19 Şubat 2021,Konut,Kiralık,Belirtilmemiş,55 m2,70 m2,1+1,0 (Yeni),Yarı Bodrum,3,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Eyüpsultan
"2,500TL",19 Şubat 2021,Konut,Kiralık,Belirtilmemiş,106 m2,130 m2,2+1,4,8. Kat,10,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Gaziosmanpaşa
"1,900TL",19 Şubat 2021,Konut,Kiralık,Belirtilmemiş,110 m2,125 m2,3+1,11-20,5. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Eyüpsultan
"1,500TL",20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,110 m2,120 m2,2+1,2,5. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Sancaktepe
"3,800TL",20 Şubat 2021,Konut,Kiralık,Betonarme,115 m2,125 m2,3+1,20 Ve Üzeri,Yüksek Giriş,5,Merkezi Doğalgaz,100 TL,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Beşiktaş
"1,800TL",20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,75 m2,85 m2,2+1,5-10,7. Kat,10,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Ümraniye
"2,200TL",20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,80 m2,85 m2,2+1,20 Ve Üzeri,4. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Üsküdar
"3,200TL",20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,85 m2,101 m2,2+1,3,13. Kat,16,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Esenyurt
"3,600TL",20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,87 m2,112 m2,2+1,2,11. Kat,22,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Kadıköy Kiralık Residenc
"3,500TL",20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,87 m2,112 m2,2+1,2,6. Kat,22,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Kadıköy
"19,000TL",20 Şubat 2021,Konut,Kiralık,Betonarme,258 m2,284 m2,4+1,5-10,Çatı Dubleks,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,3,3,Hayır,Boş,Sarıyer
"4,500TL",20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,175 m2,195 m2,4+2,20 Ve Üzeri,4. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Bahçelievler
"1,300TL",20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,33 m2,55 m2,1+1,5-10,4. Kat,11,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Sancaktepe
"4,000TL",19 Şubat 2021,Konut,Kiralık,Belirtilmemiş,60 m2,90 m2,1+1,3,9. Kat,30,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Kartal
900TL,19 Şubat 2021,Konut,Kiralık,Belirtilmemiş,70 m2,75 m2,1+1,11-20,Düz Giriş,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Ümraniye
"1,500TL",19 Şubat 2021,Konut,Kiralık,Betonarme,110 m2,115 m2,3+1,20 Ve Üzeri,4. Kat,5,Kombi Doğalgaz,20 TL,1.500 TL,1,1,Hayır,Boş,Bahçelievler
"5,000TL",19 Şubat 2021,Konut,Kiralık,Betonarme,115 m2,130 m2,3+1,0 (Yeni),4. Kat,11,Kombi Doğalgaz,150 TL,5.000 TL,2,Belirtilmemiş,Hayır,Belirtilmemiş,Ataşehir
"13,000TL",19 Şubat 2021,Konut,Kiralık,Belirtilmemiş,250 m2,320 m2,4+2,5-10,12. Kat,14,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Eşyalı,Şişli
"2,200TL",19 Şubat 2021,Konut,Kiralık,Betonarme,80 m2,85 m2,2+1,20 Ve Üzeri,3. Kat,4,Kombi Doğalgaz,Belirtilmemiş,2.200 TL,1,Belirtilmemiş,Hayır,Boş,Fatih
"2,790TL",19 Şubat 2021,Konut,Kiralık,Betonarme,100 m2,110 m2,2+1,5-10,1. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,1,Hayır,Boş,Kağıthane
"2,750TL",19 Şubat 2021,Konut,Kiralık,Betonarme,80 m2,85 m2,2+1,20 Ve Üzeri,3. Kat,3,Kombi Doğalgaz,25 TL,2.750 TL,1,1,Hayır,Boş,Fatih
"2,500TL",19 Şubat 2021,Konut,Kiralık,Betonarme,80 m2,85 m2,2+1,20 Ve Üzeri,3. Kat,4,Kombi Doğalgaz,Belirtilmemiş,2.500 TL,1,Belirtilmemiş,Hayır,Boş,Fatih
"2,550TL",19 Şubat 2021,Konut,Kiralık,Betonarme,85 m2,90 m2,2+1,20 Ve Üzeri,1. Kat,4,Kombi Doğalgaz,30 TL,2.500 TL,1,1,Hayır,Boş,Üsküdar
"2,650TL",20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,48 m2,50 m2,1+1,11-20,4. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Şişli
"1,500TL",19 Şubat 2021,Konut,Kiralık,Betonarme,60 m2,65 m2,1+1,20 Ve Üzeri,Yüksek Giriş,5,Kombi Doğalgaz,30 TL,1.500 TL,1,1,Hayır,Boş,Bahçelievler
"1,950TL",19 Şubat 2021,Konut,Kiralık,Betonarme,95 m2,105 m2,3+1,20 Ve Üzeri,2. Kat,5,Kombi Doğalgaz,30 TL,Belirtilmemiş,1,2,Hayır,Belirtilmemiş,Bahçelievler
"2,200TL",19 Şubat 2021,Konut,Kiralık,Betonarme,125 m2,130 m2,3+1,20 Ve Üzeri,1. Kat,4,Kombi Doğalgaz,Belirtilmemiş,3.000 TL,1,1,Hayır,Belirtilmemiş,Avcılar
"2,400TL",20 Şubat 2021,Konut,Kiralık,Betonarme,100 m2,120 m2,3+1,11-20,11. Kat,11,Kombi Doğalgaz,300 TL,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Kağıthane
"2,100TL",20 Şubat 2021,Konut,Kiralık,Betonarme,70 m2,75 m2,2+1,4,1. Kat,4,Kombi Doğalgaz,Belirtilmemiş,2.100 TL,1,1,Hayır,Boş,Kağıthane
"1,800TL",20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,90 m2,100 m2,3+1,20 Ve Üzeri,1. Kat,8,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Ataşehir
"3,650TL",20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,89 m2,118 m2,2+1,5-10,12. Kat,13,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Kartal
"2,700TL",19 Şubat 2021,Konut,Kiralık,Belirtilmemiş,80 m2,90 m2,2+1,5-10,2. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,1,Hayır,Belirtilmemiş,Şişli
"1,650TL",19 Şubat 2021,Konut,Kiralık,Betonarme,90 m2,100 m2,2+1,5-10,1. Kat,5,Kombi Doğalgaz,30 TL,1.650 TL,1,1,Hayır,Boş,Maltepe
"1,425TL",20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,75 m2,85 m2,2+1,5-10,1. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Ümraniye
"3,450TL",20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,90 m2,100 m2,2+1,5-10,13. Kat,15,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Başakşehir
"1,600TL",20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,80 m2,86 m2,2+1,11-20,2. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Şişli
"1,000TL",19 Şubat 2021,Konut,Kiralık,Belirtilmemiş,65 m2,70 m2,2+1,20 Ve Üzeri,3. Kat,3,Doğalgaz Sobalı,Belirtilmemiş,1.000 TL,1,Belirtilmemiş,Hayır,Belirtilmemiş,Bağcılar
"2,900TL",20 Şubat 2021,Konut,Kiralık,Betonarme,100 m2,110 m2,3+1,20 Ve Üzeri,3. Kat,5,Kombi Doğalgaz,50 TL,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Beşiktaş
"3,000TL",20 Şubat 2021,Konut,Kiralık,Çelik,90 m2,96 m2,2+1,4,Düz Giriş,3,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Beyoğlu Kiralık Müstakil Ev
"2,750TL",20 Şubat 2021,Konut,Kiralık,Betonarme,170 m2,180 m2,3+2,20 Ve Üzeri,2. Kat,3,Kombi Doğalgaz,50 TL,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Avcılar
"2,700TL",20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,75 m2,90 m2,2+1,20 Ve Üzeri,3. Kat,3,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Büyükçekmece
"3,150TL",20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,132 m2,152 m2,3+1,11-20,2. Kat,13,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Küçükçekmece
"1,300TL",19 Şubat 2021,Konut,Kiralık,Betonarme,75 m2,80 m2,2+1,5-10,Çatı Katı,3,Kombi Doğalgaz,30 TL,2.600 TL,1,1,Hayır,Boş,Avcılar
"1,725TL",19 Şubat 2021,Konut,Kiralık,Belirtilmemiş,90 m2,120 m2,2+1,5-10,6. Kat,11,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Esenyurt
"1,550TL",19 Şubat 2021,Konut,Kiralık,Betonarme,70 m2,80 m2,1+1,5-10,Çatı Katı,5,Kombi Doğalgaz,Belirtilmemiş,1.500 TL,1,1,Hayır,Eşyalı,Maltepe
"1,950TL",19 Şubat 2021,Konut,Kiralık,Belirtilmemiş,72 m2,80 m2,2+1,3,Düz Giriş,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Eyüpsultan
"2,100TL",19 Şubat 2021,Konut,Kiralık,Belirtilmemiş,70 m2,80 m2,2+1,4,Kot 1,3,Kat Kaloriferi,50 TL,4.200 TL,Yok,Yok,Hayır,Eşyalı,Ümraniye
"1,750TL",19 Şubat 2021,Konut,Kiralık,Betonarme,95 m2,110 m2,3+1,20 Ve Üzeri,Bahçe Katı,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Maltepe
"5,500TL",19 Şubat 2021,Konut,Kiralık,Çelik,75 m2,95 m2,1+1,5-10,1. Kat,33,Merkezi (Pay Ölçer),550 TL,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Sarıyer Kiralık Residenc
"2,900TL",19 Şubat 2021,Konut,Kiralık,Çelik,45 m2,60 m2,1+1,4,2. Kat,40,Merkezi (Pay Ölçer),400 TL,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"2,750TL",19 Şubat 2021,Konut,Kiralık,Betonarme,170 m2,180 m2,3+2,11-20,2. Kat,3,Kombi Doğalgaz,50 TL,2.750 TL,1,2,Hayır,Boş,Avcılar
"1,800TL",20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,95 m2,110 m2,3+1,20 Ve Üzeri,2. Kat,6,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Maltepe
"1,200TL",20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,42 m2,45 m2,Stüdyo,5-10,1. Kat,7,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Pendik
"1,200TL",19 Şubat 2021,Konut,Kiralık,Betonarme,170 m2,180 m2,4+1,2,Yüksek Giriş,4,Kombi Doğalgaz,60 TL,1.200 TL,1,1,Hayır,Boş,Sancaktepe
"1,700TL",20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,75 m2,80 m2,2+1,5-10,3. Kat,6,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Esenler
"3,000TL",19 Şubat 2021,Konut,Kiralık,Betonarme,90 m2,100 m2,2+1,0 (Yeni),1. Kat,5,Merkezi (Pay Ölçer),0 TL,4.000 TL,2,2,Hayır,Boş,Maltepe
"1,300TL",20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,95 m2,105 m2,2+1,1,1. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Arnavutköy
"1,300TL",19 Şubat 2021,Konut,Kiralık,Betonarme,75 m2,85 m2,2+1,20 Ve Üzeri,4. Kat,5,Kombi Doğalgaz,Belirtilmemiş,1.500 TL,1,1,Hayır,Boş,Bahçelievler
"1,150TL",19 Şubat 2021,Konut,Kiralık,Belirtilmemiş,65 m2,70 m2,2+1,20 Ve Üzeri,Düz Giriş,3,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,1,Hayır,Boş,Ümraniye
"2,300TL",20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,100 m2,102 m2,2+1,5-10,13. Kat,27,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Esenyurt
"3,000TL",20 Şubat 2021,Konut,Kiralık,Betonarme,105 m2,120 m2,2+1,2,5. Kat,22,Merkezi Doğalgaz,300 TL,6.000 TL,2,2,Evet,Boş,Esenyurt
"1,000TL",20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,65 m2,85 m2,2+1,3,10. Kat,10,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Arnavutköy
500TL,19 Şubat 2021,Konut,Kiralık,Belirtilmemiş,110 m2,120 m2,2+1,20 Ve Üzeri,2. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Bahçelievler
790TL,19 Şubat 2021,Konut,Kiralık,Belirtilmemiş,100 m2,110 m2,1+1,5-10,3. Kat,3,Kombi Doğalgaz,0 TL,0 TL,2,Belirtilmemiş,Hayır,Belirtilmemiş,Sancaktepe
"5,250TL",19 Şubat 2021,Konut,Kiralık,Belirtilmemiş,55 m2,82 m2,1+1,1,22. Kat,30,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Şişli Kiralık Residenc
"1,650TL",19 Şubat 2021,Konut,Kiralık,Betonarme,85 m2,95 m2,2+1,20 Ve Üzeri,1. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,1,Hayır,Boş,Bahçelievler
"2,000TL",20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,130 m2,135 m2,3+1,11-20,5. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Kağıthane
"1,600TL",19 Şubat 2021,Konut,Kiralık,Belirtilmemiş,85 m2,95 m2,2+1,5-10,3. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Eyüpsultan
"1,100TL",20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,60 m2,70 m2,1+1,5-10,Bahçe Katı,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Ümraniye
"1,900TL",20 Şubat 2021,Konut,Kiralık,Belirtilmemiş,90 m2,100 m2,2+1,11-20,Yüksek Giriş,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Kağıthane
